University of the Pacific	Stockton	CA	447	44588.0	1180.0	0.65986471251409	20120.5	0.4663
Pepperdine University	Malibu	CA	203	50022.0	1251.0	0.36873368733687	24250.0	0.4121
Point Loma Nazarene University	San Diego	CA	804	33500.0	1149.0	0.69418089816571	18667.0	0.3533
Pomona College	Claremont	CA	320	49352.0	1442.0	0.09442113058504	11700.0	0.499
University of Redlands	Redlands	CA	597	46570.0	1101.0	0.74747917580008	25000.0	0.4405
San Diego State University	San Diego	CA	93	18244.0	1132.0	0.3463852450932	13277.0	0.4577
University of San Diego	San Diego	CA	219	46140.0	1237.0	0.51384167071393	21250.0	0.4591
San Francisco State University	San Francisco	CA	112	17644.0	979.0	0.68199762581785	13000.0	0.4431
University of San Francisco	San Francisco	CA	161	44494.0	1150.0	0.71365033684348	21953.0	0.3815
William Jessup University	Rocklin	CA	1362	28700.0	1023.0	0.72506738544474	15000.0	0.3969
Santa Clara University	Santa Clara	CA	142	47112.0	1321.0	0.48301124163193	19166.0	0.5008
Scripps College	Claremont	CA	1502	50982.0	1353.0	0.29880873593646	12500.0	0.0
Simpson University	Redding	CA	1605	25950.0	985.0	0.52153110047846	15765.0	0.3376
Saint Mary's College of California	Moraga	CA	538	44360.0	1093.0	0.8038632986627	21500.0	0.403
Sonoma State University	Rohnert Park	CA	283	18548.0	990.0	0.76272214472008	13000.0	0.3698
Vanguard University of Southern California	Costa Mesa	CA	1174	31430.0	942.0	0.70239774330042	19000.0	0.3479
University of Southern California	Los Angeles	CA	20	52283.0	1395.0	0.16621223286661	21250.0	0.482
Thomas Aquinas College	Santa Paula	CA	1187	24500.0	1249.0	0.7461139896373	17000.0	0.5078
Westmont College	Santa Barbara	CA	785	42900.0	1171.0	0.82758620689655	18750.0	0.3915
Whittier College	Whittier	CA	712	44774.0	1040.0	0.69452001554605	20500.0	0.4297
Woodbury University	Burbank	CA	1115	37906.0	1012.0	0.66240753194351	27000.0	0.5131
Adams State University	Alamosa	CO	949	20169.0	933.0	0.98569238630556	11425.0	0.5131
University of Colorado Colorado Springs	Colorado Springs	CO	314	18770.0	1069.0	0.92862300154718	12197.0	0.4793
University of Colorado Boulder	Boulder	CO	33	35079.0	1229.0	0.76620553940141	14000.0	0.5588
Colorado School of Mines	Golden	CO	284	36172.0	1354.0	0.40353305112341	21915.0	0.7202
University of Denver	Denver	CO	141	46422.0	1262.0	0.5347406751304	19500.0	0.4646
Fort Lewis College	Durango	CO	1573	17816.0	1014.0	0.92122958693563	10500.0	0.5041
Colorado Mesa University	Grand Junction	CO	787	18996.0	989.0	0.82746085011185	10875.0	0.4611
Metropolitan State University of Denver	Denver	CO	472	20096.0	951.0	0.6386750962067	12988.0	0.4645
University of Northern Colorado	Greeley	CO	423	20474.0	1031.0	0.90269792127377	12500.0	0.359
Regis University	Denver	CO	587	34450.0	1098.0	0.56586737714624	18500.0	0.3954
Colorado State University-Pueblo	Pueblo	CO	973	24101.0	969.0	0.96381994110222	11750.0	0.487
University of Bridgeport	Bridgeport	CT	667	31630.0	930.0	0.57784474099583	20500.0	0.3655
Central Connecticut State University	New Britain	CT	354	22602.0	1000.0	0.60012804097311	15834.5	0.5358
University of Connecticut	Storrs	CT	81	35858.0	1230.0	0.49100180773277	18750.0	0.4988
University of Hartford	West Hartford	CT	467	37790.0	1046.0	0.71930954527888	19000.0	0.488
University of New Haven	West Haven	CT	534	37060.0	1043.0	0.8053171641791	21500.0	0.4951
Post University	Waterbury	CT	1071	16510.0	893.0	0.40714444197914	8412.0	0.378
Quinnipiac University	Hamden	CT	215	43940.0	1096.0	0.76438787672399	21500.0	0.3943
University of Saint Joseph	West Hartford	CT	1299	36870.0	985.0	0.87601078167115	23250.0	0.0214
Southern Connecticut State University	New Haven	CT	611	22915.0	933.0	0.63524637681159	16000.0	0.3839
Yale University	New Haven	CT	14	49480.0	1502.0	0.06322149785339	12000.0	0.509
Delaware State University	Dover	DE	703	16138.0	898.0	0.40649548598897	19500.0	0.3608
University of Delaware	Newark	DE	69	32250.0	1170.0	0.6950441609421	21250.0	0.4259
Wesley College	Dover	DE	1234	25646.0	830.0	0.60467802483395	12250.0	0.4409
American University	Washington	DC	103	44853.0	1262.0	0.25914618369987	19926.0	0.3671
Gallaudet University	Washington	DC	328	16078.0	827.0	0.66144814090019	10250.0	0.4856
George Washington University	Washington	DC	62	51950.0	1300.0	0.40211079723791	21500.0	0.4294
Georgetown University	Washington	DC	56	50547.0	1422.0	0.16847527129069	14750.0	0.4419
Howard University	Washington	DC	242	24908.0	1142.0	0.30002743484224	23000.0	0.329
The Baptist College of Florida	Graceville	FL	1671	10800.0	910.0	0.58677685950413	10750.0	0.5814
Barry University	Miami	FL	592	28800.0	930.0	0.61592039800995	19500.0	0.3903
Lynn University	Boca Raton	FL	795	36650.0	984.0	0.81730221969265	10000.0	0.509
University of Central Florida	Orlando	FL	78	22467.0	1179.0	0.49994267041219	14500.0	0.4539
Eckerd College	Saint Petersburg	FL	747	41538.0	1125.0	0.72132927888792	19623.0	0.3565
Edward Waters College	Jacksonville	FL	1301	13525.0	808.0	0.57701516360734	12000.0	0.5302
Florida Agricultural and Mechanical University	Tallahassee	FL	519	17725.0	1001.0	0.31110475100171	22000.0	0.3515
Florida Atlantic University	Boca Raton	FL	119	17276.0	1047.0	0.5977871377381	12000.0	0.4386
Florida College	Temple Terrace	FL	1593	16550.0	1068.0	0.78521126760563	12000.0	0.4879
AdventHealth University	Orlando	FL	1369	13480.0	917.0	0.76291793313069	16917.0	0.1949
Florida Institute of Technology	Melbourne	FL	287	40446.0	1179.0	0.61328001683678	10500.0	0.7031
Florida International University	Miami	FL	91	18954.0	1130.0	0.50071071575954	13750.0	0.4405
Florida Southern College	Lakeland	FL	731	33150.0	1177.0	0.45542635658914	15921.0	0.3545
Florida State University	Tallahassee	FL	51	21673.0	1214.0	0.58014951596789	18053.0	0.4468
University of Florida	Gainesville	FL	28	28659.0	1279.0	0.46421876010084	15000.0	0.4472
University of Miami	Coral Gables	FL	95	47004.0	1323.0	0.37712124938514	17500.0	0.4774
University of North Florida	Jacksonville	FL	266	20798.0	1110.0	0.64533756389917	12186.0	0.4426
Nova Southeastern University	Fort Lauderdale	FL	189	28736.0	1127.0	0.52541334966319	18750.0	0.3047
Palm Beach Atlantic University	West Palm Beach	FL	1014	28520.0	1076.0	0.93374741200828	14500.0	0.3411
Saint Leo University	Saint Leo	FL	641	21440.0	1032.0	0.69740057764941	12727.0	0.402
